rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago,effective_date
68,ASTS,AST SpaceMobile,2,28,32,6,2023-06-25 19:58:48.521072
69,LSI,Life Storage,2,16,0,,2023-06-25 19:58:48.521072
70,COST,Costco,2,76,218,1,2023-06-25 19:58:48.521072
71,SD,SandRidge Energy,2,4,225,1,2023-06-25 19:58:48.521072
72,DRIP,Direxion Shares ETF Trust - Direxion Daily S&P Oil & Gas Exp. & Prod.,2,2,109,3,2023-06-25 19:58:48.521072
73,BCH,Banco de Chile,2,2,296,1,2023-06-25 19:58:48.521072
74,SBUX,Starbucks,2,6,315,1,2023-06-25 19:58:48.521072
75,DIA,SSgA Active Trust - SPDR Dow Jones Industrial Average ETF,2,0,347,1,2023-06-25 19:58:48.521072
76,BABY,PishPosh,2,8,458,1,2023-06-25 19:58:48.521072
77,HR,Healthcare Realty,2,5,121,1,2023-06-25 19:58:48.521072
78,BJ,BJ's Wholesale Club,2,5,42,7,2023-06-25 19:58:48.521072
79,AIG,American International Group,2,14,0,,2023-06-25 19:58:48.521072
80,LULU,lululemon athletica,2,4,545,1,2023-06-25 19:58:48.521072
81,BE,Bloom Energy,2,3,125,2,2023-06-25 19:58:48.521072
82,SQQQ,ProShares Trust - ProShares UltraPro Short QQQ,2,6,51,6,2023-06-25 19:58:48.521072
83,ENPH,Enphase Energy,2,5,79,4,2023-06-25 19:58:48.521072
84,NC,NACCO Industries,2,6,0,,2023-06-25 19:58:48.521072
85,PLTR,Palantir,2,5,19,11,2023-06-25 19:58:48.521072
86,FI,Frank's International,2,4,754,1,2023-06-25 19:58:48.521072
87,AGI,Alamos Gold,2,4,761,,2023-06-25 19:58:48.521072
88,BDC,Belden,2,9,769,1,2023-06-25 19:58:48.521072
89,CC,Chemours,2,5,21,14,2023-06-25 19:58:48.521072
90,TX,Ternium,2,40,824,1,2023-06-25 19:58:48.521072
91,IG,Principal Exchange-Traded Funds - Principal Investment Grade Corporate,2,30,85,3,2023-06-25 19:58:48.521072
92,CBOE,Cboe,1,2,140,1,2023-06-25 19:58:48.521072
93,LOGI,Logitech,1,1,64,1,2023-06-25 19:58:48.521072
94,GOAT,VanEck Vectors ETF Trust - VanEck Vectors Morningstar Global Wide Moat,1,1,102,2,2023-06-25 19:58:48.521072
95,VGLT,"Vanguard Group, Inc. - Vanguard Long-Term Treasury ETF",1,1,143,1,2023-06-25 19:58:48.521072
96,ACH,Aluminum Corporation of China,1,1,143,1,2023-06-25 19:58:48.521072
97,WOOF,Petco,1,3,144,1,2023-06-25 19:58:48.521072
98,EVER,EverQuote,1,0,86,3,2023-06-25 19:58:48.521072
99,BOOM,Dynamic Materials Corporation,1,1,145,1,2023-06-25 19:58:48.521072
100,SIX,Six Flags,1,2,146,1,2023-06-25 19:58:48.521072
101,PAYC,Paycom,1,1,135,1,2023-06-25 19:58:48.521072
102,FTC,First Trust Exchange-Traded Fund III - First Trust Large Capital Growt,1,2,148,1,2023-06-25 19:58:48.521072
103,HARP,Harpoon Therapeutics,1,1,0,,2023-06-25 19:58:48.521072
104,WOW,WideOpenWest,1,5,149,1,2023-06-25 19:58:48.521072
105,HOPE,Hope Bancorp,1,1,150,1,2023-06-25 19:58:48.521072
106,ROOT,Root Insurance,1,2,151,1,2023-06-25 19:58:48.521072
107,PCG,Pacific Gas and Electric,1,4,152,1,2023-06-25 19:58:48.521072
108,RE,Everest Re,1,5,104,2,2023-06-25 19:58:48.521072
109,RYAAY,Ryanair,1,0,0,,2023-06-25 19:58:48.521072
110,DKNG,DraftKings,1,1,155,1,2023-06-25 19:58:48.521072
111,CPA,Copa Holdings,1,1,145,1,2023-06-25 19:58:48.521072
112,MC,Moelis &amp; Company,1,3,156,,2023-06-25 19:58:48.521072
113,HIVE,HIVE Blockchain Technologies,1,1,157,1,2023-06-25 19:58:48.521072
114,ENVX,Enovix,1,2,52,1,2023-06-25 19:58:48.521072
115,AN,AutoNation,1,3,159,1,2023-06-25 19:58:48.521072
116,PMT,PennyMac Mortgage Investment Trust,1,1,0,,2023-06-25 19:58:48.521072
117,AVGO,Broadcom,1,0,160,1,2023-06-25 19:58:48.521072
118,EDV,"Vanguard Group, Inc. - Vanguard Extended Duration Treasury ETF",1,5,0,,2023-06-25 19:58:48.521072
119,SNOW,Snowflake,1,2,164,1,2023-06-25 19:58:48.521072
120,SCHX,Schwab Strategic Trust - CSIM Schwab U.S. Large-Cap ETF,1,1,165,1,2023-06-25 19:58:48.521072
121,CRM,Salesforce,1,2,166,1,2023-06-25 19:58:48.521072
122,CMC,Commercial Metals Company,1,6,168,1,2023-06-25 19:58:48.521072
123,KC,Kingsoft Cloud,1,0,169,1,2023-06-25 19:58:48.521072
124,HOOD,Robinhood,1,1,65,4,2023-06-25 19:58:48.521072
125,XT,BlackRock Institutional Trust Company N.A. - BTC iShares Exponential T,1,2,105,4,2023-06-25 19:58:48.521072
126,III,Information Services Group,1,13,170,1,2023-06-25 19:58:48.521072
127,GOVZ,iShares Trust - iShares 25+ Year Treasury STRIPS Bond ETF,1,5,0,,2023-06-25 19:58:48.521072
128,MULN,Mullen Automotive,1,1,171,1,2023-06-25 19:58:48.521072
129,STM,STMicroelectronics,1,1,172,1,2023-06-25 19:58:48.521072
130,RPT,RPT Realty,1,-2,173,1,2023-06-25 19:58:48.521072
131,AMTX,Aemetis,1,0,175,1,2023-06-25 19:58:48.521072
132,VYMI,"Vanguard Group, Inc. - Vanguard International High Dividend Yield ETF",1,-1,176,1,2023-06-25 19:58:48.521072
133,WWW,Wolverine World Wide,1,1,177,1,2023-06-25 19:58:48.521072
134,LOVE,LoveSac,1,5,178,1,2023-06-25 19:58:48.521072
135,DC,Dakota Gold,1,1,37,4,2023-06-25 19:58:48.521072
136,CX,Cemex,1,1,179,1,2023-06-25 19:58:48.521072
137,TWLO,Twilio,1,5,180,1,2023-06-25 19:58:48.521072
138,XOM,Exxon Mobil,1,2,38,8,2023-06-25 19:58:48.521072
139,ZNTL,Zentalis Pharmaceuticals,1,1,181,1,2023-06-25 19:58:48.521072
140,UL,Unilever,1,1,0,,2023-06-25 19:58:48.521072
141,TDOC,Teladoc Health,1,5,183,1,2023-06-25 19:58:48.521072
142,ZROZ,Pimco Exchange Traded Fund - PIMCO 25+ Year Zero Coupon U.S. Treasury,1,5,0,,2023-06-25 19:58:48.521072
143,EW,Edwards Lifesciences,1,1,184,1,2023-06-25 19:58:48.521072
144,SWKS,Skyworks Solutions,1,1,185,1,2023-06-25 19:58:48.521072
145,CVNA,Carvana,1,4,47,8,2023-06-25 19:58:48.521072
146,HSY,The Hershey Company,1,1,186,1,2023-06-25 19:58:48.521072
147,PYPL,PayPal,1,2,187,1,2023-06-25 19:58:48.521072
148,DUK,Duke Energy,1,1,188,1,2023-06-25 19:58:48.521072
149,HIMX,Himax,1,3,190,1,2023-06-25 19:58:48.521072
150,HT,Hersha Hospitality Trust,1,1,191,1,2023-06-25 19:58:48.521072
151,SIG,Signet Jewelers,1,4,0,,2023-06-25 19:58:48.521072
152,CRWD,CrowdStrike,1,13,192,1,2023-06-25 19:58:48.521072
153,GOEV,Canoo,1,3,193,1,2023-06-25 19:58:48.521072
154,SGH,SMART Global Holdings,1,1,194,1,2023-06-25 19:58:48.521072
155,RUN,Sunrun,1,5,198,1,2023-06-25 19:58:48.521072
156,IDCC,InterDigital,1,1,199,1,2023-06-25 19:58:48.521072
157,SAVE,Spirit Airlines,1,3,0,,2023-06-25 19:58:48.521072
158,PG,Procter & Gamble,1,1,106,1,2023-06-25 19:58:48.521072
159,ALB,Albemarle,1,3,202,1,2023-06-25 19:58:48.521072
160,FCX,Freeport-McMoRan,1,0,205,1,2023-06-25 19:58:48.521072
161,GRWG,GrowGeneration,1,8,206,1,2023-06-25 19:58:48.521072
162,DIDIY,DiDi,1,1,0,,2023-06-25 19:58:48.521072
163,KIDS,OrthoPediatrics,1,1,208,1,2023-06-25 19:58:48.521072
164,SNAP,Snap,1,2,209,1,2023-06-25 19:58:48.521072
165,SGOV,iShares Trust - iShares 0-3 Month Treasury Bond ETF,1,1,210,1,2023-06-25 19:58:48.521072
166,IMMR,Immersion Corporation,1,1,213,1,2023-06-25 19:58:48.521072
167,HRT,HireRight,1,1,215,1,2023-06-25 19:58:48.521072
168,WBA,Walgreens Boots Alliance,1,-2,216,1,2023-06-25 19:58:48.521072
169,SAR,Saratoga Investment,1,3,0,,2023-06-25 19:58:48.521072
170,ORGN,Origin Materials,1,1,217,1,2023-06-25 19:58:48.521072
171,CORP,Pimco Exchange Traded Fund - PIMCO Investment Grade Corporate Bond Ind,1,409,220,1,2023-06-25 19:58:48.521072
172,ENR,Energizer Holdings,1,2,221,,2023-06-25 19:58:48.521072
173,GTHX,G1 Therapeutics,1,1,222,1,2023-06-25 19:58:48.521072
174,AA,Alcoa,1,5,224,1,2023-06-25 19:58:48.521072
175,ETSY,Etsy,1,1,226,1,2023-06-25 19:58:48.521072
176,NM,Navios Maritime Holdings,1,1,229,1,2023-06-25 19:58:48.521072
177,AMP,Ameriprise Financial,1,3,230,1,2023-06-25 19:58:48.521072
178,GTLB,GitLab,1,1,231,1,2023-06-25 19:58:48.521072
179,COO,Cooper Companies,1,2,233,1,2023-06-25 19:58:48.521072
180,GD,General Dynamics,1,4,67,4,2023-06-25 19:58:48.521072
181,SPCX,Collaborative Investment Series Trust - The SPAC and New Issue ETF,1,5,234,1,2023-06-25 19:58:48.521072
182,SPOT,Spotify,1,2,0,,2023-06-25 19:58:48.521072
183,TM,Toyota,1,15,235,1,2023-06-25 19:58:48.521072
184,TWO,Two Harbors Investment,1,14,236,,2023-06-25 19:58:48.521072
185,GOVT,BlackRock Institutional Trust Company N.A. - BTC iShares U.S. Treasury,1,4,238,1,2023-06-25 19:58:48.521072
186,EARN,Ellington Residential Mortgage REIT,1,1,239,1,2023-06-25 19:58:48.521072
187,FV,First Trust Exchange-Traded Fund III - First Trust Dorsey Wright Focus,1,1,241,1,2023-06-25 19:58:48.521072
188,DIS,Walt Disney,1,3,5,25,2023-06-25 19:58:48.521072
189,VUG,"Vanguard Group, Inc. - Vanguard Growth ETF",1,2,107,4,2023-06-25 19:58:48.521072
190,WY,Weyerhaeuser,1,1,104,2,2023-06-25 19:58:48.521072
191,KRE,SPDR Series Trust - SPDR S&P Regional Banking ETF,1,1,245,,2023-06-25 19:58:48.521072
192,CCC,Clarivate,1,1,0,,2023-06-25 19:58:48.521072
193,BEAT,BioTelemetry,1,1,249,1,2023-06-25 19:58:48.521072
194,U,Unity Software,1,2,250,1,2023-06-25 19:58:48.521072
195,CASH,Meta Financial Group,1,61,251,1,2023-06-25 19:58:48.521072
196,KBR,KBR,1,14,253,1,2023-06-25 19:58:48.521072
197,FFR,First Trust Exchange-Traded Fund II - First Trust FTSE EPRA/NAREIT Dev,1,1,0,,2023-06-25 19:58:48.521072
198,MMM,3M,1,3,256,1,2023-06-25 19:58:48.521072
199,HA,Hawaiian Airlines,1,2,257,1,2023-06-25 19:58:48.521072
200,WWE,World Wrestling Entertainment,1,2,68,3,2023-06-25 19:58:48.521072
201,REAL,The RealReal,1,2,259,1,2023-06-25 19:58:48.521072
202,ACM,AECOM,1,14,260,1,2023-06-25 19:58:48.521072
203,ABC,AmerisourceBergen,1,2,262,1,2023-06-25 19:58:48.521072
204,MCHP,Microchip Technology,1,2,108,1,2023-06-25 19:58:48.521072
205,GREE,Greenidge Generation Holdings,1,0,263,1,2023-06-25 19:58:48.521072
206,AI,C3 AI,1,3,264,1,2023-06-25 19:58:48.521072
207,RSP,Invesco Capital Management LLC - Invesco S&P 500 Equal Weight ETF,1,-2,266,1,2023-06-25 19:58:48.521072
208,DK,Delek US,1,3,267,1,2023-06-25 19:58:48.521072
209,DS,Drive Shack,1,5,268,1,2023-06-25 19:58:48.521072
210,BAH,Booz Allen Hamilton,1,14,269,1,2023-06-25 19:58:48.521072
211,NIO,NIO,1,3,69,1,2023-06-25 19:58:48.521072
212,SAVA,Cassava Sciences,1,2,270,1,2023-06-25 19:58:48.521072
213,AXSM,Axsome Therapeutics,1,1,273,1,2023-06-25 19:58:48.521072
214,EE,Excelerate Energy,1,2,271,1,2023-06-25 19:58:48.521072
215,ED,Consolidated Edison,1,0,272,1,2023-06-25 19:58:48.521072
216,MOS,The Mosaic Company,1,0,274,1,2023-06-25 19:58:48.521072
217,UNH,UnitedHealth,1,3,277,1,2023-06-25 19:58:48.521072
218,NU,Nu Holdings,1,1,278,1,2023-06-25 19:58:48.521072
219,LDOS,Leidos,1,14,279,1,2023-06-25 19:58:48.521072
220,MAX,MediaAlpha,1,1,110,2,2023-06-25 19:58:48.521072
221,WAL,Western Alliance Bancorporation,1,2,281,1,2023-06-25 19:58:48.521072
222,NEXT,NextDecade Corp,1,1,282,1,2023-06-25 19:58:48.521072
223,ELF,e.l.f. Cosmetics,1,1,283,1,2023-06-25 19:58:48.521072
224,WMT,Walmart,1,11,285,1,2023-06-25 19:58:48.521072
225,XLE,SSgA Active Trust - SSgA Energy Select Sector SPDR,1,-1,287,1,2023-06-25 19:58:48.521072
226,MGRX,Mangoceuticals,1,1,288,1,2023-06-25 19:58:48.521072
227,BSM,Black Stone Minerals,1,10,289,1,2023-06-25 19:58:48.521072
228,SAIC,SAIC,1,14,290,1,2023-06-25 19:58:48.521072
229,QCOM,QUALCOMM,1,2,291,1,2023-06-25 19:58:48.521072
230,SPXU,ProShares Trust - ProShares UltraPro Short S&P 500 ETF,1,1,0,,2023-06-25 19:58:48.521072
231,WEN,Wendy’s Company,1,1,295,1,2023-06-25 19:58:48.521072
232,BITO,ProShares Bito,1,1,297,1,2023-06-25 19:58:48.521072
233,MO,Altria Group,1,1,301,1,2023-06-25 19:58:48.521072
234,CACI,CACI,1,14,302,1,2023-06-25 19:58:48.521072
235,SMR,NuScale Power,1,1,305,1,2023-06-25 19:58:48.521072
236,OSA,ProSomnus,1,1,0,,2023-06-25 19:58:48.521072
237,HUT,Hut 8 Mining,1,1,308,1,2023-06-25 19:58:48.521072
238,SPYD,SPDR Series Trust - SPDR Portfolio S&P 500 High Dividend ETF,1,5,309,1,2023-06-25 19:58:48.521072
239,GM,General Motors,1,3,310,1,2023-06-25 19:58:48.521072
240,BIL,SPDR Series Trust - SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,1,2,311,1,2023-06-25 19:58:48.521072
241,FA,First Advantage,1,2,312,1,2023-06-25 19:58:48.521072
242,VDC,"Vanguard Group, Inc. - Vanguard Consumer Staples ETF",1,1,313,1,2023-06-25 19:58:48.521072
243,RS,Reliance Steel &amp; Aluminum,1,1,314,2,2023-06-25 19:58:48.521072
244,HII,Huntington Ingalls Industries,1,14,317,1,2023-06-25 19:58:48.521072
245,NRG,NRG Energy,1,1,318,1,2023-06-25 19:58:48.521072
246,AY,Atlantica,1,2,319,1,2023-06-25 19:58:48.521072
247,MOM,AGF Investments Trust - AGFiQ U.S. Market Neutral Momentum Fund,1,13,320,1,2023-06-25 19:58:48.521072
248,GNRC,Generac Power Systems,1,3,321,1,2023-06-25 19:58:48.521072
249,COF,Capital One,1,2,323,1,2023-06-25 19:58:48.521072
250,VIS,"Vanguard Group, Inc. - Vanguard Industrials ETF",1,1,326,1,2023-06-25 19:58:48.521072
251,PDD,Pinduoduo,1,2,71,3,2023-06-25 19:58:48.521072
252,OPEN,Opendoor,1,1,329,1,2023-06-25 19:58:48.521072
253,MOD,Modine Manufacturing,1,1,111,2,2023-06-25 19:58:48.521072
254,GIC,Global Industrial Company,1,3,331,1,2023-06-25 19:58:48.521072
255,SPG,Simon Property Group,1,4,258,,2023-06-25 19:58:48.521072
256,DON,WisdomTree Trust - WisdomTree U.S. MidCap Dividend Fund,1,1,332,1,2023-06-25 19:58:48.521072
257,WISH,ContextLogic (wish.com),1,5,333,1,2023-06-25 19:58:48.521072
258,TS,Tenaris,1,1,0,,2023-06-25 19:58:48.521072
259,SUN,Sunoco,1,7,335,1,2023-06-25 19:58:48.521072
260,USFR,WisdomTree Trust - WisdomTree Floating Rate Treasury Fund,1,1,336,1,2023-06-25 19:58:48.521072
261,PINS,Pinterest,1,2,341,1,2023-06-25 19:58:48.521072
262,LTC,LTC Properties,1,1,342,1,2023-06-25 19:58:48.521072
263,LMT,Lockheed Martin,1,1,72,5,2023-06-25 19:58:48.521072
264,SU,Suncor Energy,1,3,343,1,2023-06-25 19:58:48.521072
265,ITT,ITT,1,1,346,,2023-06-25 19:58:48.521072
266,HPE,Hewlett Packard Enterprise,1,5,0,,2023-06-25 19:58:48.521072
267,TFLO,BlackRock Institutional Trust Company N.A. - BTC iShares Treasury Floa,1,1,348,1,2023-06-25 19:58:48.521072
268,BIGC,BigCommerce,1,1,349,1,2023-06-25 19:58:48.521072
269,EOSE,Eos Energy Enterprises,1,1,351,1,2023-06-25 19:58:48.521072
270,RIOT,Riot Blockchain,1,1,113,1,2023-06-25 19:58:48.521072
271,GRND,Grindr,1,1,352,1,2023-06-25 19:58:48.521072
272,LODE,Comstock Mining,1,2,355,1,2023-06-25 19:58:48.521072
273,TSM,TSMC,1,1,356,1,2023-06-25 19:58:48.521072
274,WE,WeWork,1,4,357,2,2023-06-25 19:58:48.521072
275,PB,Prosperity Bancshares,1,1,0,,2023-06-25 19:58:48.521072
276,PEP,Pepsico,1,1,0,,2023-06-25 19:58:48.521072
277,ORCL,Oracle,1,2,358,1,2023-06-25 19:58:48.521072
278,PENN,Penn National Gaming,1,1,359,1,2023-06-25 19:58:48.521072
279,DEF,Invesco Capital Management LLC - Invesco Defensive Equity ETF,1,1,361,1,2023-06-25 19:58:48.521072
280,RSG,Republic Services,1,2,361,1,2023-06-25 19:58:48.521072
281,RNG,RingCentral,1,3,362,1,2023-06-25 19:58:48.521072
282,IR,Ingersoll Rand,1,2,363,,2023-06-25 19:58:48.521072
283,MTG,MGIC Investment,1,4,364,,2023-06-25 19:58:48.521072
284,JETS,ETF Series Solutions Trust - ESS U.S.Global Jets ETF,1,3,367,1,2023-06-25 19:58:48.521072
285,DRN,Direxion Shares ETF Trust - Direxion Real Estate Bull 3x Shares,1,1,365,1,2023-06-25 19:58:48.521072
286,WB,Weibo,1,2,0,,2023-06-25 19:58:48.521072
287,BB,BlackBerry,1,14,87,3,2023-06-25 19:58:48.521072
288,DG,Dollar General,1,8,366,,2023-06-25 19:58:48.521072
289,HIMS,Hims &amp; Hers Health,1,1,367,1,2023-06-25 19:58:48.521072
290,RKT,Rocket Companies,1,2,368,1,2023-06-25 19:58:48.521072
291,PRI,Primerica,1,1,0,,2023-06-25 19:58:48.521072
292,SMB,VanEck Vectors ETF Trust - VanEck Vectors Short Muni ETF,1,1,369,1,2023-06-25 19:58:48.521072
293,MSCI,MSCI,1,1,371,1,2023-06-25 19:58:48.521072
294,EPHE,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI Philippi,1,1,0,,2023-06-25 19:58:48.521072
295,NNN,National Retail Properties,1,3,372,1,2023-06-25 19:58:48.521072
296,CCI,Crown Castle,1,10,373,1,2023-06-25 19:58:48.521072
297,PPC,Pilgrim's Pride,1,1,367,1,2023-06-25 19:58:48.521072
298,MRUS,Merus,1,2,374,1,2023-06-25 19:58:48.521072
299,BARK,The Original BARK Company,1,2,375,1,2023-06-25 19:58:48.521072
300,PTON,Peloton,1,1,376,1,2023-06-25 19:58:48.521072
301,EAT,Brinker International,1,1,377,1,2023-06-25 19:58:48.521072
302,BMI,Badger Meter,1,2,378,1,2023-06-25 19:58:48.521072
303,PUMP,ProPetro,1,1,380,1,2023-06-25 19:58:48.521072
304,NET,Cloudflare,1,0,381,1,2023-06-25 19:58:48.521072
305,SLP,Simulations Plus,1,1,0,,2023-06-25 19:58:48.521072
306,CSV,Carriage Services,1,3,382,1,2023-06-25 19:58:48.521072
307,ANY,Sphere 3D,1,3,88,4,2023-06-25 19:58:48.521072
308,TDS,Telephone and Data Systems,1,1,115,2,2023-06-25 19:58:48.521072
309,EB,Eventbrite,1,3,384,1,2023-06-25 19:58:48.521072
310,GCT,GigaCloud Technology,1,2,385,1,2023-06-25 19:58:48.521072
311,NOK,Nokia,1,4,388,1,2023-06-25 19:58:48.521072
312,STEM,stem,1,2,387,,2023-06-25 19:58:48.521072
313,TTWO,Take 2 Interactive,1,2,766,,2023-06-25 19:58:48.521072
314,NFTG,The NFT Gaming Company,1,1,391,1,2023-06-25 19:58:48.521072
315,ROIC,Retail Opportunity Investments,1,1,392,1,2023-06-25 19:58:48.521072
316,RIG,Transocean,1,2,0,,2023-06-25 19:58:48.521072
317,QS,QuantumScape,1,1,116,2,2023-06-25 19:58:48.521072
318,MSM,MSC Industrial Direct,1,3,393,1,2023-06-25 19:58:48.521072
319,IE,Ivanhoe Electric,1,4,394,1,2023-06-25 19:58:48.521072
320,MP,MP Materials,1,1,396,1,2023-06-25 19:58:48.521072
321,TLRY,Tilray,1,2,117,1,2023-06-25 19:58:48.521072
322,TXN,Texas Instruments,1,0,398,1,2023-06-25 19:58:48.521072
323,ATAI,Atai Life Sciences,1,16,400,1,2023-06-25 19:58:48.521072
324,WIX,Wix.com,1,2,401,1,2023-06-25 19:58:48.521072
325,UA,Under Armour,1,1,402,1,2023-06-25 19:58:48.521072
326,CMBS,BlackRock Institutional Trust Company N.A. - BTC iShares CMBS ETF,1,3,344,,2023-06-25 19:58:48.521072
327,VDE,"Vanguard Group, Inc. - Vanguard Energy ETF",1,8,403,1,2023-06-25 19:58:48.521072
328,MA,Mastercard,1,2,73,3,2023-06-25 19:58:48.521072
329,ETN,Eaton,1,3,405,1,2023-06-25 19:58:48.521072
330,SCHQ,Schwab Strategic Trust - Schwab US Long-Term U.S. Treasury ETF,1,0,0,,2023-06-25 19:58:48.521072
331,FTCH,Farfetch,1,2,406,1,2023-06-25 19:58:48.521072
332,CMPS,COMPASS Pathways,1,0,407,1,2023-06-25 19:58:48.521072
333,NPK,National Presto Industries,1,3,408,1,2023-06-25 19:58:48.521072
334,VC,Visteon,1,2,74,3,2023-06-25 19:58:48.521072
335,VMW,Vmware,1,2,411,1,2023-06-25 19:58:48.521072
336,KT,KT Corporation,1,1,413,1,2023-06-25 19:58:48.521072
